date,year,month,day,weekday,quarter,revenue,cost,operating_profit,net_profit,active_users,orders,avg_order_value,conversion_rate,satisfaction_score,churn_rate,new_signups,repeat_purchase_rate,marketing_cost,roi,domestic_ratio,overseas_ratio,online_ratio,offline_ratio
2022-02-14,2022,2,14,Monday,Q1,12601,7663,4938,3893,600,171,74.0,3.67,76.2,2.84,27,31.7,678,728.3,71.3,28.7,38.4,61.6
2022-02-15,2022,2,15,Tuesday,Q1,12247,8417,3830,3206,583,166,74.0,4.22,73.5,3.5,40,32.2,821,466.5,64.7,35.3,44.8,55.2
2022-02-16,2022,2,16,Wednesday,Q1,10475,6570,3905,3030,498,141,74.0,2.37,75.5,4.77,32,28.7,899,434.4,60.7,39.3,40.9,59.1
2022-02-17,2022,2,17,Thursday,Q1,9843,6311,3532,2785,468,133,74.0,4.75,74.7,5.33,19,28.7,873,404.6,69.0,31.0,41.5,58.5
2022-02-18,2022,2,18,Friday,Q1,11851,7691,4160,2913,563,160,74.0,4.09,75.4,7.6,35,26.6,789,527.2,72.9,27.1,44.8,55.2
2022-02-19,2022,2,19,Saturday,Q1,7955,5222,2733,2275,539,107,74.0,4.08,71.7,7.41,20,31.4,734,372.3,61.2,38.8,37.9,62.1
2022-02-20,2022,2,20,Sunday,Q1,7467,5037,2430,1735,506,100,75.0,4.31,70.7,2.23,15,27.2,606,401.0,68.3,31.7,41.0,59.0
2022-02-21,2022,2,21,Monday,Q1,11480,7573,3907,3138,544,154,75.0,3.02,71.7,4.44,11,31.7,964,405.3,58.5,41.5,42.3,57.7
2022-02-22,2022,2,22,Tuesday,Q1,10712,7441,3271,2762,507,143,75.0,4.33,77.0,1.14,27,34.3,987,331.4,64.6,35.4,38.4,61.6
2022-02-23,2022,2,23,Wednesday,Q1,11484,7155,4329,3583,543,153,75.0,2.7,71.7,1.77,17,26.1,672,644.2,71.4,28.6,38.7,61.3
2022-02-24,2022,2,24,Thursday,Q1,10085,6612,3473,2670,477,135,75.0,2.38,76.2,1.09,27,30.8,845,411.0,70.2,29.8,43.1,56.9
2022-02-25,2022,2,25,Friday,Q1,15210,10397,4813,3996,553,156,98.0,4.69,74.2,2.8,12,35.5,1052,457.5,67.1,32.9,38.2,61.8
2022-02-26,2022,2,26,Saturday,Q1,11613,7792,3821,3035,603,119,98.0,2.53,73.5,2.42,30,35.1,715,534.4,66.7,33.3,36.6,63.4
2022-02-27,2022,2,27,Sunday,Q1,9294,5776,3518,2801,482,95,98.0,5.15,75.1,3.9,24,28.4,805,437.0,70.2,29.8,40.6,59.4
2022-02-28,2022,2,28,Monday,Q1,13013,8440,4573,3672,472,133,98.0,4.82,76.1,0.97,16,35.7,981,466.2,65.3,34.7,40.4,59.6
2022-03-01,2022,3,1,Tuesday,Q1,12923,8451,4472,3172,609,171,76.0,2.65,76.5,4.51,42,30.3,1159,385.8,60.7,39.3,42.9,57.1
2022-03-02,2022,3,2,Wednesday,Q1,10486,7255,3231,2561,494,139,75.0,3.03,78.8,5.58,11,28.8,638,506.4,59.4,40.6,43.0,57.0
2022-03-03,2022,3,3,Thursday,Q1,10332,7149,3183,2308,486,137,75.0,3.9,73.6,6.33,18,29.7,906,351.3,57.5,42.5,44.2,55.8
2022-03-04,2022,3,4,Friday,Q1,10339,7116,3223,2527,486,137,75.0,3.36,72.3,2.57,33,30.6,842,382.8,63.8,36.2,36.2,63.8
2022-03-05,2022,3,5,Saturday,Q1,7645,5070,2575,2071,514,101,76.0,3.05,75.4,3.17,21,35.4,734,350.8,64.5,35.5,45.5,54.5
2022-03-06,2022,3,6,Sunday,Q1,8185,5405,2780,2022,550,108,76.0,2.37,71.0,2.26,14,29.0,575,483.5,73.5,26.5,42.4,57.6
2022-03-07,2022,3,7,Monday,Q1,13486,9214,4272,3066,634,178,76.0,2.85,80.0,6.87,46,28.2,1340,318.8,64.0,36.0,43.6,56.4
2022-03-08,2022,3,8,Tuesday,Q1,11477,7743,3734,2617,539,151,76.0,3.62,79.2,6.88,28,30.5,1138,328.1,55.7,44.3,43.4,56.6
2022-03-09,2022,3,9,Wednesday,Q1,11113,6920,4193,3238,522,146,76.0,3.4,74.1,6.77,25,34.3,966,434.1,61.2,38.8,42.0,58.0
2022-03-10,2022,3,10,Thursday,Q1,10566,7256,3310,2531,496,139,76.0,2.29,79.3,6.4,29,33.8,643,514.8,73.5,26.5,43.9,56.1
2022-03-11,2022,3,11,Friday,Q1,11649,7297,4352,3476,546,153,76.0,4.86,72.8,6.7,39,30.1,906,480.4,58.4,41.6,38.4,61.6
2022-03-12,2022,3,12,Saturday,Q1,7394,4457,2937,2407,495,97,76.0,3.55,80.2,6.63,18,27.8,437,672.1,58.7,41.3,37.7,62.3
2022-03-13,2022,3,13,Sunday,Q1,9421,6506,2915,2386,631,123,77.0,4.54,80.5,5.08,31,31.6,792,368.1,72.4,27.6,42.1,57.9
2022-03-14,2022,3,14,Monday,Q1,12685,8359,4326,3286,594,166,76.0,3.35,77.2,7.0,38,33.2,946,457.3,61.3,38.7,42.1,57.9
2022-03-15,2022,3,15,Tuesday,Q1,10751,6767,3984,2953,503,141,76.0,4.31,79.2,2.63,15,29.8,619,643.6,73.2,26.8,40.9,59.1
2022-03-16,2022,3,16,Wednesday,Q1,12530,8370,4160,3152,587,164,76.0,5.15,71.7,2.89,39,34.0,768,541.7,61.2,38.8,36.1,63.9
2022-03-17,2022,3,17,Thursday,Q1,13004,7957,5047,3779,609,170,76.0,3.42,78.1,7.24,42,33.4,787,641.3,72.9,27.1,41.8,58.2
2022-03-18,2022,3,18,Friday,Q1,10545,6534,4011,2877,493,138,76.0,3.53,71.9,3.58,36,28.9,823,487.4,56.6,43.4,40.9,59.1
2022-03-19,2022,3,19,Saturday,Q1,9537,6086,3451,2532,637,124,77.0,5.17,77.5,2.8,24,34.2,897,384.7,59.7,40.3,36.2,63.8
2022-03-20,2022,3,20,Sunday,Q1,9093,5633,3460,2610,608,119,76.0,3.8,78.9,4.07,14,32.2,666,519.5,60.1,39.9,43.5,56.5
2022-03-21,2022,3,21,Monday,Q1,10185,6165,4020,3189,476,133,77.0,4.95,78.7,1.78,36,30.4,696,577.6,69.5,30.5,42.5,57.5
2022-03-22,2022,3,22,Tuesday,Q1,11056,7270,3786,2673,517,144,77.0,3.86,75.8,3.49,22,31.1,737,513.7,71.7,28.3,41.2,58.8
2022-03-23,2022,3,23,Wednesday,Q1,12553,7863,4690,3808,587,164,77.0,4.81,79.8,5.38,15,30.4,684,685.7,58.1,41.9,42.0,58.0
2022-03-24,2022,3,24,Thursday,Q1,11562,6972,4590,3359,540,151,77.0,4.6,78.1,4.97,19,35.5,811,566.0,55.6,44.4,43.6,56.4
2022-03-25,2022,3,25,Friday,Q1,14613,8878,5735,4178,525,146,100.0,3.68,79.2,3.97,28,34.2,716,801.0,74.6,25.4,42.1,57.9
2022-03-26,2022,3,26,Saturday,Q1,11544,7198,4346,3442,593,115,100.0,2.37,74.6,1.51,42,29.5,1070,406.2,69.7,30.3,40.7,59.3
2022-03-27,2022,3,27,Sunday,Q1,11872,8224,3648,3009,610,119,100.0,2.13,77.5,1.63,26,29.5,1101,331.3,70.9,29.1,45.5,54.5
2022-03-28,2022,3,28,Monday,Q1,14385,8969,5416,3994,517,144,100.0,4.35,78.0,3.8,20,33.7,1061,510.5,58.0,42.0,43.3,56.7
2022-03-29,2022,3,29,Tuesday,Q1,17130,11884,5246,4163,615,171,100.0,4.75,80.1,6.79,23,32.1,1515,346.3,61.7,38.3,38.2,61.8
2022-03-30,2022,3,30,Wednesday,Q1,15790,9706,6084,5088,567,158,100.0,5.16,74.8,1.9,14,36.5,830,733.0,68.3,31.7,43.7,56.3
2022-03-31,2022,3,31,Thursday,Q1,13493,8458,5035,3853,485,135,100.0,4.05,77.8,4.23,29,34.5,1062,474.1,66.8,33.2,41.4,58.6
2022-04-01,2022,4,1,Friday,Q2,13257,8986,4271,3282,619,172,77.0,3.91,74.1,0.96,15,30.7,1339,319.0,62.6,37.4,42.6,57.4
2022-04-02,2022,4,2,Saturday,Q2,7853,4961,2892,2041,524,102,77.0,4.82,74.4,4.64,20,34.9,513,563.7,69.7,30.3,42.1,57.9
2022-04-03,2022,4,3,Sunday,Q2,9339,5938,3401,2552,623,121,77.0,2.2,77.1,2.03,35,28.9,549,619.5,67.3,32.7,42.0,58.0
2022-04-04,2022,4,4,Monday,Q2,10347,7236,3111,2211,483,134,77.0,4.04,74.0,6.85,16,31.1,811,383.6,65.5,34.5,39.9,60.1
2022-04-05,2022,4,5,Tuesday,Q2,11563,8013,3550,2632,540,150,77.0,4.21,78.1,6.55,37,29.2,1196,296.8,69.8,30.2,37.8,62.2
2022-04-06,2022,4,6,Wednesday,Q2,11087,7375,3712,2618,518,144,77.0,4.3,74.1,1.06,12,36.3,994,373.4,58.7,41.3,38.5,61.5
2022-04-07,2022,4,7,Thursday,Q2,12674,7859,4815,3798,592,165,77.0,3.72,77.2,1.93,35,34.8,879,547.8,70.6,29.4,44.8,55.2
2022-04-08,2022,4,8,Friday,Q2,11694,8096,3598,2677,546,152,77.0,4.65,77.5,4.57,42,34.6,1179,305.2,62.3,37.7,41.7,58.3
2022-04-09,2022,4,9,Saturday,Q2,9013,5745,3268,2735,602,117,77.0,3.73,76.3,4.85,12,30.0,608,537.5,63.2,36.8,38.6,61.4
2022-04-10,2022,4,10,Sunday,Q2,7399,4523,2876,2032,494,96,77.0,5.08,79.2,2.54,10,30.9,365,787.9,64.9,35.1,41.8,58.2
2022-04-11,2022,4,11,Monday,Q2,11121,7076,4045,2977,520,145,77.0,3.31,75.0,1.31,15,36.2,1037,390.1,67.4,32.6,40.0,60.0
2022-04-12,2022,4,12,Tuesday,Q2,13704,8662,5042,3947,641,179,77.0,3.87,76.3,4.16,25,34.3,1102,457.5,55.7,44.3,43.5,56.5
2022-04-13,2022,4,13,Wednesday,Q2,13155,8152,5003,3722,615,171,77.0,4.12,79.2,4.8,33,34.7,1206,414.8,60.4,39.6,38.3,61.7
2022-04-14,2022,4,14,Thursday,Q2,11984,8274,3710,2854,560,156,77.0,4.24,77.7,3.37,16,27.7,1208,307.1,57.8,42.2,43.1,56.9
2022-04-15,2022,4,15,Friday,Q2,13751,9470,4281,3268,643,179,77.0,3.99,75.6,3.64,21,32.0,961,445.5,70.9,29.1,46.4,53.6
2022-04-16,2022,4,16,Saturday,Q2,8960,5503,3457,2551,599,117,77.0,3.77,78.9,3.71,36,34.3,774,446.6,57.5,42.5,40.4,59.6
2022-04-17,2022,4,17,Sunday,Q2,8791,5949,2842,2263,588,115,76.0,2.24,74.0,7.33,33,33.8,615,462.1,56.7,43.3,44.2,55.8
2022-04-18,2022,4,18,Monday,Q2,13733,8688,5045,3556,643,179,77.0,3.95,77.8,1.62,19,33.1,724,696.8,56.1,43.9,42.8,57.2
2022-04-19,2022,4,19,Tuesday,Q2,13603,8521,5082,3646,637,178,76.0,3.66,76.4,2.14,15,32.2,828,613.8,66.4,33.6,37.8,62.2
2022-04-20,2022,4,20,Wednesday,Q2,10810,6531,4279,3012,506,141,77.0,3.79,71.9,5.47,29,27.9,695,615.7,70.2,29.8,42.2,57.8
2022-04-21,2022,4,21,Thursday,Q2,13601,9103,4498,3597,637,178,76.0,3.67,71.6,7.73,20,28.5,1146,392.5,62.6,37.4,39.8,60.2
2022-04-22,2022,4,22,Friday,Q2,10951,6695,4256,2989,513,143,77.0,5.05,76.2,2.27,21,28.0,729,583.8,56.2,43.8,41.0,59.0
2022-04-23,2022,4,23,Saturday,Q2,8687,5283,3404,2841,582,114,76.0,4.5,75.5,6.86,36,30.6,660,515.8,58.9,41.1,43.6,56.4
2022-04-24,2022,4,24,Sunday,Q2,7939,5278,2661,1975,532,104,76.0,3.04,72.7,0.87,24,29.4,608,437.7,56.7,43.3,41.0,59.0
2022-04-25,2022,4,25,Monday,Q2,16518,10466,6052,4708,596,167,99.0,2.38,74.0,3.63,30,27.8,1536,394.0,56.2,43.8,44.8,55.2
2022-04-26,2022,4,26,Tuesday,Q2,13922,9350,4572,3356,503,141,99.0,3.03,74.3,0.94,16,36.5,806,567.2,62.6,37.4,42.5,57.5
2022-04-27,2022,4,27,Wednesday,Q2,16770,10853,5917,4862,606,170,99.0,2.53,72.2,7.75,21,30.6,1432,413.2,56.9,43.1,39.5,60.5
2022-04-28,2022,4,28,Thursday,Q2,15078,9235,5843,4240,545,153,99.0,2.95,72.9,7.09,15,33.3,797,733.1,60.4,39.6,40.6,59.4
2022-04-29,2022,4,29,Friday,Q2,17411,12139,5272,4467,629,177,98.0,2.94,71.6,6.72,25,34.8,1452,363.1,71.8,28.2,39.8,60.2
2022-04-30,2022,4,30,Saturday,Q2,9805,5975,3830,3036,507,99,99.0,4.72,80.0,6.49,15,29.5,749,511.3,55.2,44.8,37.9,62.1
2022-05-01,2022,5,1,Sunday,Q2,9150,5786,3364,2777,615,121,76.0,4.69,74.0,6.46,46,33.9,519,648.2,72.3,27.7,39.2,60.8
2022-05-02,2022,5,2,Monday,Q2,12210,7332,4878,3668,575,161,76.0,2.86,76.4,1.97,37,34.2,810,602.2,63.8,36.2,38.3,61.7
2022-05-03,2022,5,3,Tuesday,Q2,11585,7518,4067,2971,546,153,76.0,2.8,80.7,3.84,40,36.4,1028,395.6,56.0,44.0,36.8,63.2
2022-05-04,2022,5,4,Wednesday,Q2,13657,9542,4115,3112,644,181,75.0,2.34,80.1,7.39,51,30.1,852,483.0,68.1,31.9,37.8,62.2
2022-05-05,2022,5,5,Thursday,Q2,12567,8493,4074,3347,593,167,75.0,2.49,77.0,7.62,20,34.3,764,533.2,59.5,40.5,41.8,58.2
2022-05-06,2022,5,6,Friday,Q2,10535,6678,3857,2978,497,140,75.0,2.53,74.4,6.58,16,30.8,760,507.5,64.8,35.2,39.8,60.2
2022-05-07,2022,5,7,Saturday,Q2,9185,5764,3421,2557,619,122,75.0,2.62,81.1,5.83,22,36.7,579,590.8,72.3,27.7,43.9,56.1
2022-05-08,2022,5,8,Sunday,Q2,8614,5881,2733,1921,581,115,75.0,2.36,79.4,2.62,30,34.3,536,509.9,69.2,30.8,39.8,60.2
2022-05-09,2022,5,9,Monday,Q2,11177,6911,4266,3573,528,149,75.0,2.37,76.6,2.51,33,33.7,629,678.2,56.0,44.0,44.2,55.8
2022-05-10,2022,5,10,Tuesday,Q2,12653,8028,4625,3269,598,169,75.0,2.97,75.2,7.72,32,37.3,1165,397.0,72.5,27.5,41.7,58.3
2022-05-11,2022,5,11,Wednesday,Q2,13473,9023,4450,3505,638,180,75.0,3.63,71.8,6.33,19,35.5,1307,340.5,73.0,27.0,39.5,60.5
2022-05-12,2022,5,12,Thursday,Q2,13168,9001,4167,2979,624,176,75.0,2.42,78.9,5.19,45,32.3,986,422.6,68.1,31.9,43.0,57.0
2022-05-13,2022,5,13,Friday,Q2,12545,8523,4022,3177,595,168,75.0,3.82,79.7,4.58,44,35.9,1252,321.2,60.8,39.2,36.8,63.2
2022-05-14,2022,5,14,Saturday,Q2,7563,4630,2933,2368,512,101,75.0,2.53,74.0,3.71,28,27.5,498,589.0,64.2,35.8,44.6,55.4
2022-05-15,2022,5,15,Sunday,Q2,7473,4575,2898,2035,507,100,75.0,2.9,74.3,1.47,25,30.0,559,518.4,65.0,35.0,39.0,61.0
2022-05-16,2022,5,16,Monday,Q2,13058,8963,4095,2999,620,176,74.0,4.12,78.8,7.3,47,28.2,724,565.6,57.7,42.3,39.6,60.4
2022-05-17,2022,5,17,Tuesday,Q2,11940,8003,3937,3046,568,161,74.0,4.59,75.6,3.88,21,33.6,755,521.5,58.3,41.7,39.3,60.7
2022-05-18,2022,5,18,Wednesday,Q2,11802,7343,4459,3211,561,160,74.0,2.24,71.3,2.61,39,30.1,962,463.5,59.4,40.6,37.7,62.3
2022-05-19,2022,5,19,Thursday,Q2,12367,8142,4225,3470,589,168,74.0,2.56,73.0,3.82,45,28.9,903,467.9,67.0,33.0,43.9,56.1
2022-05-20,2022,5,20,Friday,Q2,10417,6274,4143,3311,496,141,74.0,4.69,73.5,5.87,36,28.0,561,738.5,71.1,28.9,46.0,54.0
2022-05-21,2022,5,21,Saturday,Q2,9484,6223,3261,2311,646,129,74.0,4.12,73.6,3.73,46,36.4,878,371.4,69.7,30.3,38.8,61.2
2022-05-22,2022,5,22,Sunday,Q2,7854,5391,2463,1867,535,107,73.0,4.83,79.4,4.4,13,31.1,742,331.9,71.8,28.2,46.9,53.1
2022-05-23,2022,5,23,Monday,Q2,12935,8945,3990,3221,618,176,73.0,4.46,78.3,6.4,26,36.8,761,524.3,56.3,43.7,37.7,62.3
2022-05-24,2022,5,24,Tuesday,Q2,12268,8050,4218,3542,586,168,73.0,3.73,72.7,7.31,20,29.3,1199,351.8,69.3,30.7,44.8,55.2
2022-05-25,2022,5,25,Wednesday,Q2,16873,10320,6553,4604,621,178,95.0,4.61,79.8,5.32,32,28.0,1509,434.3,70.8,29.2,42.8,57.2
2022-05-26,2022,5,26,Thursday,Q2,15321,9517,5804,4650,564,162,95.0,3.68,80.0,7.08,42,31.1,864,671.8,56.3,43.7,41.3,58.7
2022-05-27,2022,5,27,Friday,Q2,16451,10831,5620,4643,607,174,95.0,3.01,79.2,0.98,45,29.8,1100,510.9,58.7,41.3,39.2,60.8
2022-05-28,2022,5,28,Saturday,Q2,9110,6328,2782,2145,480,96,95.0,4.3,75.3,3.9,26,30.5,857,324.6,73.3,26.7,39.6,60.4
2022-05-29,2022,5,29,Sunday,Q2,9973,6058,3915,3017,526,106,94.0,3.88,76.6,5.27,36,34.4,756,517.9,61.9,38.1,44.3,55.7
2022-05-30,2022,5,30,Monday,Q2,13997,9466,4531,3567,518,149,94.0,4.42,79.7,3.65,21,28.6,807,561.5,66.1,33.9,46.4,53.6
2022-05-31,2022,5,31,Tuesday,Q2,15132,9850,5282,4447,560,161,94.0,4.25,72.7,5.38,25,33.1,803,657.8,71.1,28.9,44.2,55.8
2022-06-01,2022,6,1,Wednesday,Q2,10026,6774,3252,2731,483,139,72.0,3.76,72.6,2.03,23,37.7,906,358.9,57.2,42.8,40.5,59.5
2022-06-02,2022,6,2,Thursday,Q2,13084,9099,3985,3119,631,182,72.0,2.81,76.3,5.6,26,34.9,1310,304.2,55.0,45.0,38.5,61.5
2022-06-03,2022,6,3,Friday,Q2,9973,6696,3277,2748,481,139,72.0,3.16,80.0,2.99,27,31.4,797,411.2,62.8,37.2,43.7,56.3
2022-06-04,2022,6,4,Saturday,Q2,9306,6506,2800,2217,642,130,72.0,3.27,78.4,3.59,31,29.8,831,336.9,59.2,40.8,39.5,60.5
2022-06-05,2022,6,5,Sunday,Q2,8100,5618,2482,2017,560,113,72.0,3.07,71.6,3.51,11,33.1,540,459.6,60.0,40.0,46.9,53.1
2022-06-06,2022,6,6,Monday,Q2,13166,7957,5209,4073,637,185,71.0,3.17,78.8,5.81,37,35.3,814,639.9,67.7,32.3,40.5,59.5
2022-06-07,2022,6,7,Tuesday,Q2,13094,7964,5130,4354,635,184,71.0,3.48,77.3,4.56,21,37.7,931,551.0,59.2,40.8,46.5,53.5
2022-06-08,2022,6,8,Wednesday,Q2,12759,8227,4532,3657,619,180,71.0,3.65,74.9,1.93,30,33.5,865,523.9,74.1,25.9,45.2,54.8
2022-06-09,2022,6,9,Thursday,Q2,13132,7914,5218,4356,638,186,71.0,4.73,73.2,3.46,46,30.3,699,746.5,59.5,40.5,42.6,57.4
2022-06-10,2022,6,10,Friday,Q2,11763,8160,3603,2804,572,166,71.0,4.63,79.0,4.76,20,35.4,819,439.9,59.7,40.3,38.6,61.4
2022-06-11,2022,6,11,Saturday,Q2,8306,5165,3141,2657,578,118,70.0,3.72,75.4,0.88,45,35.8,717,438.1,74.1,25.9,37.4,62.6
2022-06-12,2022,6,12,Sunday,Q2,7080,4771,2309,1815,493,100,71.0,3.16,77.5,5.11,21,31.1,592,390.0,73.1,26.9,39.0,61.0
2022-06-13,2022,6,13,Monday,Q2,11349,7784,3565,2598,554,162,70.0,2.82,77.9,5.36,31,28.5,692,515.2,67.3,32.7,46.5,53.5
2022-06-14,2022,6,14,Tuesday,Q2,12161,8127,4034,3187,594,174,70.0,2.32,79.7,4.42,46,35.8,1108,364.1,62.9,37.1,38.3,61.7
